"Leave Code","Dependent standard",Relation,Event,"Max Leave allowed","Custom defined dates",Name,Date
"OH _LABCORP",No,,,,Yes,"Makar Sankranti / Pongal",2023-01-16
"OH _LABCORP",No,,,,Yes,Holi,2023-03-07
"OH _LABCORP",No,,,,Yes,"Ugadi / Gudi Padwa",2023-03-22
"OH _LABCORP",No,,,,Yes,"Ram Navami",2023-03-30
"OH _LABCORP",No,,,,Yes,"Mahavir Jayanti",2023-04-04
"OH _LABCORP",No,,,,Yes,"Good Friday",2023-04-07
"OH _LABCORP",No,,,,Yes,"Vishu/ Vaishaki / Bihu / Ambedkar Jayanti",2023-04-14
"OH _LABCORP",No,,,,Yes,Eid-ul-Fitar,2023-04-21
"OH _LABCORP",No,,,,Yes,"Budhha Purnima",2023-05-05
"OH _LABCORP",No,,,,Yes,"Rath Yatra",2023-06-20
"OH _LABCORP",No,,,,Yes,"Bakri Id / Eid ul-Adha",2023-06-29
"OH _LABCORP",No,,,,Yes,"Parsi New Year",2023-08-16
"OH _LABCORP",No,,,,Yes,"Varamahalakshmi Vrata",2023-08-25
"OH _LABCORP",No,,,,Yes,Onam,2023-08-29
"OH _LABCORP",No,,,,Yes,"Raksha Bandhan",2023-08-30
"OH _LABCORP",No,,,,Yes,Janmashtami,2023-09-07
"OH _LABCORP",No,,,,Yes,"Vinayaka Chaturthi",2023-09-19
"OH _LABCORP",No,,,,Yes,"Milad un Nabi",2023-09-28
"OH _LABCORP",No,,,,Yes,Mahanavami,2023-10-23
"OH _LABCORP",No,,,,Yes,"Dussehra / Dasara",2023-10-24
"OH _LABCORP",No,,,,Yes,"Diwali / Deepavali",2023-11-14
"OH _LABCORP",No,,,,Yes,"Bhai Dhuj",2023-11-15
"OH _LABCORP",No,,,,Yes,"Guru Nanak's Birthday",2023-11-27
"OH _LABCORP",No,,,,Yes,"Kanakadas Jayanti",2023-11-30
"OH _LABCORP",No,,,,Yes,Christmas,2023-12-25
OH_SCITARA,No,,,,Yes,"Good Friday",2023-04-07
OH_SCITARA,No,,,,Yes,"Bakri id",2023-06-28
